type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
W	-53.658747548	121.021260711		1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	Untitled Placemark		20,2	

type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
T	33.746909414	73.135521067	623.7						
T	33.746909945	73.135534582	623.8						
T	33.746911042	73.135561666	623.8						
T	33.746912243	73.135588875	623.8						
T	33.746913015	73.135610500	623.8						
T	33.746911070	73.135626296	623.8						
T	33.746906697	73.135639126	623.7						
T	33.746899758	73.135643618	623.7						
T	33.746883341	73.135641657	623.6						
T	33.746871539	73.135634945	623.5						
T	33.746833194	73.135619094	623.2						
T	33.746804381	73.135596683	623.0						
T	33.746794797	73.135587498	622.9						
T	33.746760797	73.135553626	622.7						
T	33.746753314	73.135544522	622.6						
T	33.746735840	73.135518133	622.5						
T	33.746728371	73.135506488	622.4						
T	33.746708046	73.135461427	622.3						
T	33.746700474	73.135449734	622.2						
T	33.746687006	73.135397984	622.1						
T	33.746679131	73.135350369	622.1						
T	33.746678861	73.135319529	622.1						
T	33.746685083	73.135273809	622.1						
T	33.746688924	73.135237976	622.3						
T	33.746700257	73.135216057	622.4						
T	33.746711611	73.135194097	622.6						
T	33.746716258	73.135189465	622.6						
T	33.746739425	73.135161029	622.8						
T	33.746748596	73.135149025	622.9						
T	33.746764606	73.135127281	623.1						
T	33.746782992	73.135108261	623.2						
T	33.746796295	73.135085904	623.3						
T	33.746809488	73.135060857	623.4						
T	33.746811751	73.135050708	623.4						
T	33.746824942	73.135017870	623.5						
T	33.746831573	73.135005317	623.6						
T	33.746832730	73.134984213	623.7						
T	33.746838033	73.134940016	624.0						
T	33.746840511	73.134893893	624.4						
T	33.746836305	73.134852597	624.7						
T	33.746836493	73.134837230	624.8						
T	33.746829389	73.134808421	625.0						
T	33.746817094	73.134773997	625.2						
T	33.746789942	73.134738490	625.3						
T	33.746773067	73.134714282	625.4						
T	33.746761417	73.134700839	625.4						
T	33.746726483	73.134670819	625.4						
T	33.746714726	73.134662489	625.4						
T	33.746688818	73.134645700	625.4						
T	33.746660339	73.134631255	625.3						
T	33.746625647	73.134624282	625.2						
T	33.746605173	73.134623222	625.1						
T	33.746589471	73.134627489	625.1						
T	33.746578470	73.134634546	625.0						
T	33.746569882	73.134646783	624.9						
T	33.746567939	73.134656820	624.9						
T	33.746559465	73.134679106	624.8						
T	33.746555284	73.134699035	624.7						
T	33.746555404	73.134711619	624.6						
T	33.746555620	73.134746804	624.4						
T	33.746555660	73.134756848	624.4						
T	33.746557904	73.134784561	624.2						
T	33.746569308	73.134818014	624.0						
T	33.746571559	73.134828209	623.9						
T	33.746578401	73.134836264	623.9						
T	33.746585338	73.134854436	623.8						
T	33.746606509	73.134886609	623.6						
T	33.746625236	73.134911026	623.5						
T	33.746632069	73.134919137	623.5						
T	33.746645711	73.134930300	623.4						
T	33.746659392	73.134938960	623.4						
T	33.746686555	73.134948545	623.4						
T	33.746695612	73.134954278	623.4						
T	33.746711529	73.134955443	623.5						
T	33.746741265	73.134957651	623.6						
T	33.746762130	73.134959293	623.6						
T	33.746785494	73.134958612	623.7						
T	33.746811743	73.134953218	623.9						
