type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
W	-53.658747548	121.021260711		1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	Untitled Placemark		20,2	

type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
T	33.745526218	73.134705102	619.7						
T	33.745526557	73.134759926	619.4						
T	33.745526660	73.134784969	619.2						
T	33.745530396	73.134846384	618.8						
T	33.745543247	73.134924435	618.4						
T	33.745550596	73.134956813	618.3						
T	33.745564972	73.135016216	618.0						
T	33.745594284	73.135102664	617.6						
T	33.745607251	73.135151840	617.4						
T	33.745614689	73.135173212	617.3						
T	33.745629633	73.135200198	617.3						
T	33.745654065	73.135244638	617.3						
T	33.745663486	73.135257360	617.3						
T	33.745680417	73.135280109	617.3						
T	33.745689851	73.135288199	617.5						
T	33.745703092	73.135303697	617.6						
T	33.745708801	73.135315994	617.6						
T	33.745726121	73.135328014	617.8						
T	33.745733829	73.135336155	617.9						
T	33.745751180	73.135345746	618.0						
T	33.745770513	73.135348644	618.2						
T	33.745786045	73.135348654	618.3						
T	33.745795738	73.135340719	618.4						
T	33.745807365	73.135325983	618.6						
T	33.745813169	73.135315067	618.7						
T	33.745815061	73.135303569	618.7						
T	33.745818839	73.135285219	618.8						
T	33.745818754	73.135271060	618.9						
T	33.745818683	73.135242975	619.0						
T	33.745816598	73.135198229	619.1						
T	33.745806732	73.135168879	619.1						
T	33.745804733	73.135159245	619.2						
T	33.745787138	73.135129059	619.1						
T	33.745775496	73.135116033	619.1						
T	33.745748565	73.135106013	618.9						
T	33.745735202	73.135104567	618.8						
T	33.745719991	73.135109854	618.6						
T	33.745701055	73.135121624	618.4						
T	33.745685969	73.135133782	618.2						
T	33.745676566	73.135141939	618.1						
T	33.745669081	73.135159502	617.9						
T	33.745657863	73.135181201	617.7						
T	33.745654132	73.135189956	617.6						
T	33.745648431	73.135211913	617.4						
T	33.745642736	73.135245235	617.1						
T	33.745642745	73.135258958	617.1						
T	33.745642717	73.135279421	616.9						
T	33.745642691	73.135304440	617.0						
T	33.745642693	73.135313574	617.0						
T	33.745644568	73.135334390	617.0						
T	33.745650199	73.135369464	617.1						
T	33.745661497	73.135405481	617.3						
T	33.745665268	73.135419794	617.3						
T	33.745674716	73.135446479	617.4						
T	33.745682357	73.135461656	617.4						
T	33.745693735	73.135484140	617.5						
T	33.745699378	73.135496377	617.5						
T	33.745710738	73.135511863	617.6						
T	33.745729956	73.135531496	617.6						
T	33.745735716	73.135539411	617.7						
T	33.745747267	73.135550676	617.7						
T	33.745768577	73.135563821	617.8						
T	33.745782227	73.135566398	617.9						
T	33.745803774	73.135570465	617.9						
T	33.745813608	73.135572321	618.0						
T	33.745829404	73.135572994	618.0						
T	33.745845287	73.135569045	618.1						
T	33.745861248	73.135562762	618.1						
T	33.745879280	73.135554477	618.2						
T	33.745891229	73.135544746	618.2						
T	33.745901206	73.135532280	618.3						
T	33.745917224	73.135516070	618.4						
T	33.745921211	73.135507231	618.4						
T	33.745927227	73.135491650	618.5						
T	33.745927153	73.135467868	618.5						
T	33.745925050	73.135441381	618.6						
T	33.745916896	73.135416285	618.7						
T	33.745898703	73.135389617	618.7						
T	33.745892635	73.135379146	618.7						
T	33.745874586	73.135364441	618.7						
T	33.745834871	73.135334793	618.8						
T	33.745811265	73.135324206	618.6						
T	33.745799524	73.135320122	618.5						
T	33.745789762	73.135316330	618.4						
T	33.745783923	73.135315469	618.4						
T	33.745776187	73.135321361	618.3						
T	33.745766526	73.135326953	618.2						
T	33.745756904	73.135334888	618.1						
T	33.745751155	73.135341061	618.0						
T	33.745741564	73.135346652	617.9						
T	33.745737787	73.135362409	617.9						
T	33.745731996	73.135379921	617.8						
T	33.745726205	73.135388163	617.8						
T	33.745714656	73.135411531	617.6						
T	33.745706997	73.135430964	617.6						
T	33.745691865	73.135474754	617.5						
T	33.745686139	73.135496652	617.5						
T	33.745684163	73.135528186	617.5						
T	33.745684124	73.135541820	617.5						
T	33.745687833	73.135565138	617.5						
T	33.745695080	73.135599762	617.7						
T	33.745698719	73.135611386	617.7						
T	33.745704236	73.135623275	617.8						
T	33.745713520	73.135642608	617.9						
T	33.745719380	73.135653293	617.9						
T	33.745727153	73.135662029	618.0						
T	33.745732958	73.135665601	618.0						
T	33.745748486	73.135673622	618.1						
T	33.745764028	73.135676888	618.2						
T	33.745793520	73.135683557	618.3						
T	33.745805454	73.135686431	618.4						
T	33.745829404	73.135687407	618.5						
T	33.745841422	73.135685507	618.5						
T	33.745855574	73.135688951	618.5						
T	33.745861627	73.135688005	618.5						
T	33.745867678	73.135687024	618.5						
T	33.745877778	73.135684578	618.5						
T	33.745883746	73.135676263	618.5						
T	33.745893667	73.135661484	618.5						
T	33.745909643	73.135640749	618.5						
T	33.745919778	73.135630972	618.5						
T	33.745923764	73.135619787	618.5						
T	33.745929766	73.135604220	618.5						
T	33.745933698	73.135578685	618.4						
T	33.745935682	73.135569498	618.4						
T	33.745935600	73.135552760	618.4						
T	33.745929384	73.135525365	618.4						
T	33.745925241	73.135503187	618.5						
T	33.745925211	73.135493675	618.5						
T	33.745921057	73.135457328	618.6						
T	33.745921000	73.135438327	618.6						
T	33.745920860	73.135393205	618.7						
T	33.745920727	73.135366997	618.8						
T	33.745920447	73.135321654	618.9						
T	33.745920301	73.135300165	618.9						
T	33.745923810	73.135255041	619.1						
T	33.745925534	73.135235974	619.2						
T	33.745931091	73.135210078	619.3						
T	33.745934847	73.135200751	619.4						
T	33.745940483	73.135186757	619.5						
T	33.745946240	73.135177659	619.5						
T	33.745956004	73.135169019	619.6						
T	33.745961711	73.135157455	619.6						
T	33.745981421	73.135145021	619.7						
T	33.745989285	73.135138563	619.8						
T	33.746021503	73.135125388	619.9						
T	33.746040098	73.135120672	620.0						
T	33.746075473	73.135110896	620.1						
T	33.746145425	73.135112933	620.4						
T	33.746179262	73.135116871	620.5						
T	33.746189978	73.135123053	620.5						
T	33.746205035	73.135132233	620.5						
T	33.746215767	73.135135967	620.6						
T	33.746220256	73.135146426	620.5						
T	33.746220676	73.135166353	620.4						
T	33.746221070	73.135186267	620.3						
T	33.746219545	73.135218366	620.1						
T	33.746219758	73.135233233	620.0						
T	33.746211759	73.135269344	619.8						
T	33.746191750	73.135326603	619.5						
T	33.746174372	73.135372534	619.4						
T	33.746170647	73.135387253	619.3						
T	33.746156564	73.135408084	619.2						
T	33.746148529	73.135422059	619.2						
T	33.746142302	73.135423728	619.2						
T	33.746140326	73.135428475	619.2						
T	33.746131984	73.135434655	619.1						
T	33.746119126	73.135432438	619.0						
T	33.746108559	73.135435613	619.0						
T	33.746098018	73.135438780	619.0						
T	33.746079014	73.135440453	618.9						
T	33.746057967	73.135441711	618.9						
T	33.746049656	73.135445218	618.9						
T	33.746033082	73.135452217	618.8						
T	33.746024671	73.135455450	618.8						
T	33.746001674	73.135470337	618.7						
T	33.745987069	73.135474699	618.7						
T	33.745972627	73.135491133	618.6						
T	33.745966466	73.135499538	618.6						
T	33.745956019	73.135513903	618.5						
T	33.745951812	73.135541379	618.5						
T	33.745949821	73.135550587	618.4						
T	33.745949929	73.135572147	618.5						
T	33.745949977	73.135581731	618.5						
T	33.745954177	73.135606473	618.5						
T	33.745954278	73.135620931	618.6						
T	33.745962728	73.135649214	618.6						
T	33.745966925	73.135659743	618.7						
T	33.745975394	73.135683350	618.7						
T	33.745983823	73.135699730	618.8						
T	33.745998495	73.135717463	618.8						
T	33.746015344	73.135738172	618.9						
T	33.746021706	73.135746904	618.9						
T	33.746036650	73.135757857	618.9						
T	33.746043228	73.135767008	618.9						
T	33.746062504	73.135778977	619.0						
T	33.746086432	73.135799791	619.0						
T	33.746105881	73.135814215	619.0						
T	33.746140984	73.135840279	619.1						
T	33.746158398	73.135846772	619.1						
T	33.746187170	73.135871140	619.1						
T	33.746195838	73.135872952	619.1						
T	33.746215495	73.135879668	619.1						
T	33.746224478	73.135889361	619.1						
T	33.746241817	73.135895214	619.1						
T	33.746250454	73.135896805	619.2						
T	33.746270026	73.135903022	619.2						
T	33.746287587	73.135911494	619.2						
T	33.746329144	73.135919183	619.2						
T	33.746344735	73.135927348	619.2						
T	33.746371285	73.135932324	619.2						
T	33.746380246	73.135936624	619.2						
T	33.746400253	73.135940325	619.3						
T	33.746413709	73.135945432	619.4						
T	33.746431538	73.135948638	619.5						
T	33.746442714	73.135950648	619.5						
T	33.746460710	73.135956504	619.6						
T	33.746474166	73.135958884	619.7						
T	33.746516971	73.135966408	620.0						
T	33.746530478	73.135968678	620.0						
T	33.746566335	73.135969190	620.3						
T	33.746579846	73.135971317	620.4						
T	33.746604197	73.135966857	620.6						
T	33.746623936	73.135958901	620.8						
T	33.746641612	73.135953357	621.0						
T	33.746650221	73.135946408	621.1						
T	33.746665674	73.135940494	621.2						
T	33.746676920	73.135939445	621.3						
T	33.746687682	73.135930035	621.5						
T	33.746693707	73.135917145	621.6						
T	33.746706605	73.135905277	621.8						
T	33.746708218	73.135894485	621.9						
T	33.746711877	73.135878591	622.0						
T	33.746711137	73.135857119	622.1						
T	33.746710628	73.135841083	622.3						
T	33.746710241	73.135830341	622.3						
T	33.746707154	73.135808523	622.3						
T	33.746704458	73.135797452	622.3						
T	33.746698976	73.135772664	622.2						
T	33.746696287	73.135761626	622.2						
T	33.746688758	73.135736845	622.2						
T	33.746674214	73.135708408	622.1						
T	33.746666877	73.135689025	622.0						
T	33.746659637	73.135674874	621.9						
T	33.746645319	73.135654425	621.8						
T	33.746626444	73.135620643	621.7						
T	33.746619285	73.135611708	621.7						
T	33.746600498	73.135593300	621.5						
T	33.746584221	73.135577995	621.4						
T	33.746577177	73.135564134	621.4						
T	33.746561000	73.135543890	621.3						
T	33.746549620	73.135534670	621.2						
T	33.746520151	73.135507776	621.0						
T	33.746508843	73.135496101	621.0						
T	33.746479750	73.135474589	620.9						
T	33.746450973	73.135458359	620.7						
T	33.746426791	73.135445324	620.6						
T	33.746381012	73.135422279	620.4						
T	33.746357402	73.135417142	620.3						
T	33.746323425	73.135413535	620.2						
T	33.746310684	73.135412128	620.1						
T	33.746287441	73.135412077	620.0						
T	33.746279087	73.135416180	619.9						
T	33.746260395	73.135429167	619.8						
T	33.746243896	73.135444871	619.7						
T	33.746219208	73.135472026	619.5						
T	33.746211059	73.135503188	619.4						
T	33.746198591	73.135548254	619.3						
T	33.746198665	73.135572831	619.3						
T	33.746203141	73.135600760	619.3						
T	33.746205421	73.135618457	619.3						
T	33.746214153	73.135634828	619.4						
T	33.746220682	73.135643404	619.4						
T	33.746261683	73.135672429	619.5						
T	33.746311832	73.135698304	619.7						
T	33.746342448	73.135713287	619.8						
T	33.746403527	73.135737494	620.1						
T	33.746451842	73.135754692	620.5						
T	33.746471759	73.135762726	620.6						
T	33.746502622	73.135767086	620.8						
T	33.746520330	73.135769588	620.9						
T	33.746540228	73.135769770	621.1						
T	33.746548955	73.135765739	621.2						
T	33.746573142	73.135761130	621.3						
T	33.746595518	73.135761697	621.5						
T	33.746604383	73.135755182	621.6						
T	33.746624673	73.135745306	621.7						
T	33.746649729	73.135738765	621.9						
T	33.746656406	73.135731898	621.9						
T	33.746672118	73.135723639	622.0						
T	33.746678957	73.135711796	622.1						
T	33.746693091	73.135703912	622.2						
T	33.746702539	73.135687535	622.3						
T	33.746709701	73.135681074	622.3						
T	33.746719251	73.135667287	622.4						
T	33.746726435	73.135658224	622.4						
T	33.746728762	73.135640556	622.4						
T	33.746736078	73.135634157	622.5						
T	33.746741062	73.135617111	622.5						
T	33.746743567	73.135607303	622.6						
T	33.746751015	73.135585501	622.6						
T	33.746758386	73.135558413	622.7						
T	33.746758198	73.135542750	622.7						
T	33.746770166	73.135505771	622.7						
T	33.746772541	73.135490593	622.8						
T	33.746771916	73.135453865	622.8						
T	33.746770347	73.135403452	622.7						
T	33.746764688	73.135378867	622.7						
T	33.746753048	73.135319274	622.6						
T	33.746737469	73.135277938	622.5						
T	33.746709843	73.135219828	622.5						
T	33.746695016	73.135194692	622.5						
T	33.746666143	73.135157869	622.4						
T	33.746638573	73.135129719	622.4						
T	33.746599859	73.135103214	622.4						
T	33.746561289	73.135091899	622.3						
T	33.746530919	73.135085731	622.2						
T	33.746521913	73.135089850	622.2						
T	33.746506094	73.135093212	622.1						
T	33.746492788	73.135104463	622.0						
T	33.746486244	73.135113902	621.9						
T	33.746473177	73.135132749	621.8						
T	33.746471171	73.135142680	621.8						
T	33.746456511	73.135174222	621.6						
T	33.746452690	73.135201707	621.5						
T	33.746453442	73.135244784	621.4						
T	33.746453818	73.135280063	621.2						
T	33.746467566	73.135364478	621.1						
T	33.746501662	73.135459567	621.0						
T	33.746515535	73.135496975	621.0						
T	33.746556638	73.135553531	621.2						
T	33.746568151	73.135570487	621.3						
T	33.746591209	73.135586738	621.5						
T	33.746616678	73.135595794	621.6						
T	33.746626164	73.135597457	621.7						
T	33.746654269	73.135596863	621.9						
T	33.746695009	73.135588557	622.2						
T	33.746736337	73.135582948	622.5						
T	33.746746121	73.135576923	622.6						
T	33.746765754	73.135567415	622.7						
T	33.746780511	73.135554406	622.8						
T	33.746797052	73.135543672	622.9						
T	33.746808839	73.135532224	623.0						
T	33.746820716	73.135515619	623.1						
T	33.746830247	73.135501278	623.2						
T	33.746832468	73.135491048	623.2						
T	33.746847549	73.135457969	623.3						
T	33.746853398	73.135434350	623.3						
T	33.746855123	73.135418495	623.4						
T	33.746869838	73.135385073	623.5						
T	33.746880312	73.135333292	623.5						
T	33.746885072	73.135310395	623.6						
T	33.746886969	73.135253057	623.6						
T	33.746880529	73.135181248	623.6						
T	33.746874841	73.135130862	623.6						
T	33.746853094	73.135041990	623.6						
T	33.746837920	73.134990014	623.7						
T	33.746795134	73.134885148	624.3						
T	33.746765543	73.134837288	624.5						
T	33.746708945	73.134751595	624.9						
T	33.746656666	73.134697109	625.1						
T	33.746638200	73.134683357	625.0						
T	33.746613198	73.134671885	625.0						
T	33.746595100	73.134668379	624.9						
T	33.746579414	73.134670070	624.9						
T	33.746566117	73.134676938	624.8						
T	33.746557438	73.134689100	624.7						
T	33.746550799	73.134701280	624.7						
T	33.746537372	73.134723011	624.5						
T	33.746530427	73.134739981	624.4						
T	33.746516504	73.134781286	624.0						
T	33.746509804	73.134838173	623.6						
T	33.746510352	73.134870919	623.4						
T	33.746511669	73.134951621	622.8						
T	33.746519933	73.134995757	622.5						
T	33.746540169	73.135086796	622.2						
T	33.746568644	73.135150933	622.1						
T	33.746591303	73.135178482	622.1						
T	33.746600401	73.135179432	622.1						
T	33.746611796	73.135180621	622.2						
T	33.746625385	73.135174359	622.2						
T	33.746638907	73.135165470	622.3						
T	33.746654690	73.135151663	622.4						
T	33.746661432	73.135142079	622.5						
T	33.746663592	73.135129499	622.5						
T	33.746670319	73.135117337	622.6						
T	33.746676955	73.135094919	622.7						
T	33.746679133	73.135084872	622.8						
T	33.746687338	73.135051960	622.9						
T	33.746689114	73.135036553	623.0						
T	33.746699556	73.135008873	623.1						
T	33.746705384	73.134978246	623.3						
T	33.746704903	73.134962693	623.4						
T	33.746716038	73.134925200	623.7						
T	33.746716412	73.134879578	624.0						
T	33.746716473	73.134823589	624.4						
T	33.746716444	73.134795564	624.7						
T	33.746715861	73.134741834	625.0						
T	33.746714971	73.134677847	625.4						
T	33.746709672	73.134636658	625.5						
T	33.746698930	73.134546837	625.8						
T	33.746664509	73.134440726	626.0						
T	33.746650112	73.134389756	626.1						
T	33.746608040	73.134273101	626.3						
T	33.746553229	73.134172427	626.2						
T	33.746530324	73.134142410	626.0						
T	33.746482631	73.134087788	625.6						
T	33.746462358	73.134068081	625.4						
T	33.746425627	73.134048578	625.2						
T	33.746416401	73.134041287	625.2						
T	33.746396076	73.134036535	625.0						
T	33.746381010	73.134036615	625.0						
T	33.746363980	73.134041571	625.0						
T	33.746351215	73.134051360	625.1						
T	33.746343205	73.134068395	625.1						
T	33.746337190	73.134080556	625.1						
T	33.746331339	73.134104863	625.0						
T	33.746327441	73.134136456	625.0						
T	33.746327605	73.134155908	625.0						
T	33.746327850	73.134185098	625.0						
T	33.746328239	73.134231341	624.9						
T	33.746334596	73.134253325	624.9						
T	33.746353608	73.134326723	624.9						
T	33.746383402	73.134410458	625.0						
T	33.746398615	73.134452572	625.0						
T	33.746441171	73.134513476	624.9						
T	33.746466627	73.134529757	625.0						
T	33.746478348	73.134535430	625.0						
T	33.746491853	73.134536098	625.0						
T	33.746511004	73.134524290	625.2						
T	33.746523925	73.134514787	625.2						
T	33.746539131	73.134500392	625.3						
T	33.746547803	73.134488232	625.4						
T	33.746554501	73.134481022	625.5						
T	33.746558951	73.134463756	625.5						
T	33.746570321	73.134441771	625.7						
T	33.746572649	73.134429401	625.7						
T	33.746584342	73.134404913	625.8						
T	33.746600868	73.134373032	626.0						
T	33.746608315	73.134328257	626.1						
T	33.746617454	73.134305908	626.2						
T	33.746635642	73.134243483	626.5						
T	33.746644423	73.134200845	626.7						
T	33.746661685	73.134117916	626.8						
T	33.746685356	73.134027230	626.7						
T	33.746698498	73.133943937	626.5						
T	33.746698347	73.133896035	626.4						
T	33.746700499	73.133807729	626.7						
T	33.746700673	73.133714358	627.0						
T	33.746696093	73.133666611	627.1						
T	33.746675467	73.133559242	627.3						
T	33.746649548	73.133462985	627.4						
T	33.746630610	73.133421881	627.4						
T	33.746585824	73.133340971	627.4						
T	33.746544328	73.133285185	627.1						
T	33.746530569	73.133269193	627.0						
T	33.746505630	73.133251818	626.8						
T	33.746485360	73.133238998	626.7						
T	33.746466079	73.133232975	626.6						
T	33.746453458	73.133233737	626.5						
T	33.746442962	73.133234368	626.4						
T	33.746430474	73.133237512	626.3						
T	33.746422018	73.133245422	626.2						
T	33.746411448	73.133255917	626.2						
T	33.746398677	73.133276387	626.1						
T	33.746394317	73.133291420	626.0						
T	33.746394180	73.133301286	626.0						
T	33.746391772	73.133326041	626.0						
T	33.746391365	73.133355601	625.9						
T	33.746396959	73.133399618	625.8						
T	33.746407795	73.133433065	625.8						
T	33.746429523	73.133507529	625.7						
T	33.746457223	73.133574096	625.6						
T	33.746475569	73.133609817	625.6						
T	33.746525007	73.133691414	625.8						
T	33.746581517	73.133763776	626.0						
T	33.746606536	73.133792906	626.1						
T	33.746642793	73.133829461	626.1						
T	33.746677068	73.133843675	626.3						
T	33.746688757	73.133843361	626.4						
T	33.746698209	73.133843095	626.5						
T	33.746712497	73.133835105	626.7						
T	33.746724399	73.133832228	626.8						
T	33.746750363	73.133808682	627.2						
T	33.746771816	73.133790225	627.5						
T	33.746801915	73.133743524	628.0						
T	33.746817932	73.133702233	628.3						
T	33.746833956	73.133655732	628.6						
T	33.746842722	73.133599272	628.9						
T	33.746853332	73.133535141	629.1						
T	33.746857689	73.133504318	629.2						
T	33.746866587	73.133440002	629.3						
T	33.746871120	73.133411625	629.4						
T	33.746872354	73.133342839	629.5						
T	33.746871580	73.133281795	629.5						
T	33.746866510	73.133226077	629.4						
T	33.746859752	73.133180480	629.4						
T	33.746850299	73.133158320	629.3						
T	33.746843378	73.133128236	629.3						
T	33.746838652	73.133115923	629.2						
T	33.746828884	73.133106822	629.2						
T	33.746819482	73.133097526	629.1						
T	33.746803268	73.133088793	629.0						
T	33.746756780	73.133080533	628.6						
T	33.746690510	73.133062867	628.2						
T	33.746638996	73.133058894	627.8						
T	33.746531152	73.133052648	627.0						
T	33.746420822	73.133053011	626.2						
T	33.746363795	73.133057883	626.0						
T	33.746275185	73.133073561	626.0						
T	33.746192630	73.133111578	625.9						
T	33.746111367	73.133158607	625.6						
T	33.746072532	73.133181459	625.4						
T	33.746011829	73.133243863	625.0						
T	33.745965868	73.133311173	624.6						
T	33.745946061	73.133345455	624.4						
T	33.745908580	73.133411196	624.6						
T	33.745891485	73.133453659	624.6						
T	33.745886084	73.133488352	624.7						
T	33.745884665	73.133527371	624.9						
T	33.745889101	73.133566104	625.0						
T	33.745893304	73.133591185	625.1						
T	33.745899541	73.133637080	625.3						
T	33.745923323	73.133701059	625.5						
T	33.745952817	73.133779389	625.8						
T	33.745980479	73.133832451	625.9						
T	33.746024516	73.133927807	625.8						
T	33.746088120	73.134028608	625.4						
T	33.746117229	73.134076016	625.3						
T	33.746173364	73.134143018	625.1						
T	33.746206610	73.134172043	625.0						
T	33.746217046	73.134176940	625.0						
T	33.746227529	73.134177032	625.0						
T	33.746242281	73.134169924	625.0						
T	33.746265416	73.134160429	625.0						
T	33.746279838	73.134148399	625.0						
T	33.746300296	73.134119381	625.1						
T	33.746314680	73.134102418	625.1						
T	33.746341073	73.134065969	625.1						
T	33.746369527	73.134002620	625.0						
T	33.746382157	73.133968403	625.0						
T	33.746399634	73.133904675	625.0						
T	33.746406661	73.133843349	625.1						
T	33.746406802	73.133811533	625.1						
T	33.746402697	73.133757820	625.1						
T	33.746389276	73.133694932	625.0						
T	33.746384779	73.133663459	625.0						
T	33.746367057	73.133608408	625.1						
T	33.746351477	73.133553514	625.3						
T	33.746338655	73.133529946	625.4						
T	33.746317687	73.133463175	625.5						
T	33.746289071	73.133401582	625.6						
T	33.746254325	73.133333426	625.5						
T	33.746210216	73.133264916	625.5						
T	33.746180373	73.133210639	625.6						
T	33.746165547	73.133195570	625.6						
T	33.746146630	73.133180975	625.6						
T	33.746127917	73.133171075	625.6						
T	33.746119654	73.133169561	625.6						
T	33.746101109	73.133164397	625.6						
T	33.746080609	73.133161820	625.5						
T	33.746066348	73.133163289	625.5						
T	33.746041952	73.133165857	625.4						
T	33.746003435	73.133174776	625.2						
T	33.745975453	73.133182310	625.1						
T	33.745919396	73.133200360	624.8						
T	33.745854450	73.133232895	624.4						
T	33.745821603	73.133249926	624.2						
T	33.745766963	73.133297396	623.7						
T	33.745707589	73.133353384	623.2						
T	33.745683667	73.133395511	623.1						
T	33.745648876	73.133462859	623.1						
T	33.745630588	73.133526943	623.2						
T	33.745623338	73.133565516	623.3						
T	33.745621650	73.133626247	623.4						
T	33.745621654	73.133698340	623.3						
T	33.745636371	73.133792518	623.3						
T	33.745654361	73.133878101	623.4						
T	33.745684858	73.133972358	623.3						
T	33.745721478	73.134053834	623.1						
T	33.745742689	73.134094935	623.0						
T	33.745788924	73.134180176	622.6						
T	33.745833792	73.134254809	622.7						
T	33.745849465	73.134276006	622.7						
T	33.745876976	73.134306875	622.8						
T	33.745902591	73.134316836	623.0						
T	33.745910477	73.134317032	623.0						
T	33.745934042	73.134319890	623.2						
T	33.745963542	73.134315818	623.4						
T	33.745985302	73.134313923	623.6						
T	33.746030512	73.134291097	624.0						
T	33.746066096	73.134270331	624.3						
T	33.746100162	73.134230471	624.7						
T	33.746112535	73.134204496	624.9						
T	33.746122976	73.134173675	625.0						
T	33.746131479	73.134147538	625.1						
T	33.746135987	73.134095076	625.2						
T	33.746137603	73.134028264	625.5						
T	33.746124455	73.133956974	625.7						
T	33.746115836	73.133916728	625.9						
T	33.746086552	73.133815529	626.0						
T	33.746047792	73.133724738	625.9						
T	33.746021502	73.133683470	625.8						
T	33.745969445	73.133606281	625.5						
T	33.745925847	73.133555083	625.1						
T	33.745906116	73.133533073	625.0						
T	33.745878767	73.133520826	624.8						
T	33.745861249	73.133512682	624.7						
T	33.745830514	73.133514421	624.6						
T	33.745811385	73.133515520	624.5						
T	33.745790429	73.133523596	624.4						
T	33.745779049	73.133528808	624.3						
T	33.745758320	73.133548176	624.2						
T	33.745737619	73.133562955	624.1						
T	33.745728203	73.133574874	624.1						
T	33.745715049	73.133600634	624.1						
T	33.745705677	73.133623865	624.1						
T	33.745703874	73.133653468	624.1						
T	33.745707524	73.133714837	624.1						
T	33.745714946	73.133753320	624.2						
T	33.745729774	73.133803092	624.4						
T	33.745748534	73.133843691	624.7						
T	33.745779242	73.133902342	625.1						
T	33.745800499	73.133934019	625.1						
T	33.745820002	73.133965880	625.0						
T	33.745831759	73.133986460	624.9						
T	33.745853370	73.134030149	624.5						
T	33.745871256	73.134078732	624.1						
T	33.745893195	73.134148527	623.6						
T	33.745905033	73.134183567	623.5						
T	33.745925334	73.134260991	623.3						
T	33.745942385	73.134346019	623.1						
T	33.745949028	73.134391069	623.0						
T	33.745958046	73.134485959	622.8						
T	33.745956357	73.134575552	622.5						
T	33.745933815	73.134719560	622.0						
T	33.745894342	73.134826886	621.3						
T	33.745851410	73.134926166	620.6						
T	33.745811216	73.134993007	619.9						
T	33.745794153	73.135012717	619.7						
T	33.745777041	73.135027585	619.5						
T	33.745771341	73.135034064	619.4						
T	33.745763696	73.135033347	619.3						
T	33.745752212	73.135027587	619.3						
T	33.745744547	73.135017560	619.3						
T	33.745736880	73.135000609	619.3						
T	33.745729152	73.134969739	619.5						
T	33.745715850	73.134927104	619.7						
T	33.745712077	73.134899224	619.9						
T	33.745696948	73.134833698	620.2						
T	33.745685576	73.134757107	620.7						
T	33.745681717	73.134715483	620.9						
T	33.745675938	73.134632556	620.9						
T	33.745675826	73.134554651	620.9						
T	33.745679541	73.134515897	620.9						
T	33.745686993	73.134458938	620.9						
T	33.745700105	73.134420421	621.1						
T	33.745701916	73.134408968	621.2						
T	33.745714997	73.134393253	621.3						
T	33.745726258	73.134386657	621.4						
T	33.745745135	73.134382574	621.6						
T	33.745760313	73.134383000	621.7						
T	33.745785109	73.134388335	621.9						
T	33.745806210	73.134395909	622.0						
T	33.745831323	73.134410630	622.1						
T	33.745848912	73.134425228	622.2						
T	33.745866583	73.134442223	622.2						
T	33.745884274	73.134461592	622.3						
T	33.745902124	73.134476409	622.4						
T	33.745928064	73.134510455	622.5						
T	33.745948149	73.134537344	622.5						
T	33.745958267	73.134554395	622.5						
T	33.745974541	73.134588398	622.5						
T	33.745994863	73.134632201	622.4						
T	33.746001010	73.134653931	622.3						
T	33.746017445	73.134709665	622.1						
T	33.746029733	73.134772344	621.8						
T	33.746038055	73.134806395	621.6						
T	33.746050447	73.134890860	621.3						
T	33.746052524	73.134974480	620.9						
T	33.746052533	73.135062668	620.4						
T	33.746048383	73.135107429	620.1						
T	33.746037284	73.135174249	619.6						
T	33.746008562	73.135258891	619.1						
T	33.745973059	73.135319883	618.9						
T	33.745963030	73.135335236	618.9						
T	33.745944847	73.135342119	618.9						
T	33.745934728	73.135342951	618.9						
T	33.745922596	73.135341075	618.8						
T	33.745908448	73.135334109	618.9						
T	33.745894350	73.135327167	618.9						
T	33.745884292	73.135318495	618.9						
T	33.745870314	73.135309317	618.9						
T	33.745858308	73.135295687	618.9						
T	33.745848256	73.135277573	619.0						
T	33.745834326	73.135256679	619.1						
T	33.745824502	73.135232010	619.1						
T	33.745818609	73.135214898	619.1						
T	33.745816557	73.135188842	619.2						
T	33.745812472	73.135155450	619.2						
T	33.745810357	73.135127008	619.3						
T	33.745809797	73.135070266	619.6						
T	33.745814786	73.134951145	620.2						
T	33.745826176	73.134863614	620.9						
T	33.745841329	73.134787683	621.5						
T	33.745852846	73.134760439	621.7						
T	33.745874161	73.134715149	622.0						
T	33.745889847	73.134697507	622.0						
T	33.745905745	73.134691640	622.1						
T	33.745919679	73.134692617	622.1						
T	33.745939863	73.134694191	622.1						
T	33.745986729	73.134707328	622.1						
T	33.746029774	73.134727224	622.0						
T	33.746072855	73.134754165	621.9						
T	33.746095515	73.134767753	621.8						
T	33.746155709	73.134813034	621.9						
T	33.746207578	73.134860128	622.0						
T	33.746228656	73.134886040	622.0						
T	33.746262780	73.134920593	622.0						
T	33.746290929	73.134964776	621.9						
T	33.746330824	73.135028084	621.7						
T	33.746348801	73.135059809	621.6						
T	33.746391944	73.135144514	621.5						
T	33.746426683	73.135239079	621.3						
T	33.746440558	73.135283525	621.2						
T	33.746469850	73.135382311	621.0						
T	33.746491150	73.135496407	620.9						
T	33.746496522	73.135550722	620.8						
